key,question,options,num options,question type,factual,Wave,Personal and social identity,Science and technology,National / political issues,Coded?
RACESURV18a_W43,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Whites and Hispanics","['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure', 'Refused']",6,scale-opinion,FALSE,W43,1,0,0,L
RACESURV18b_W43,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Blacks and Hispanics","['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure', 'Refused']",6,scale-opinion,FALSE,W43,1,0,0,L
RACESURV18c_W43,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Blacks and whites","['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure', 'Refused']",6,scale-opinion,FALSE,W43,1,0,0,L
RACESURV18d_W43,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Whites and Asians","['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure', 'Refused']",6,scale-opinion,FALSE,W43,1,0,0,L
RACESURV18e_W43,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Blacks and Asians","['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure', 'Refused']",6,scale-opinion,FALSE,W43,1,0,0,L
RACESURV18f_W43,"Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Hispanics and Asians","['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure', 'Refused']",6,scale-opinion,FALSE,W43,1,0,0,L
JOBSECURITY_W41,"By the year 2050, will the average working person in this country have","['More job security', 'Less job security', 'About the same', 'Refused']",4,multi-goldilocks,FALSE,W41,0,0,1,L
JOBBENEFITS_W41,"Over the next 30 years, will the average working person in this country have employee benefits, such as health insurance, paid vacations and retirement plans that are","['Better than they are now', 'Not as good as they are now', 'About the same as they are now', 'Refused']",4,multi-goldilocks,FALSE,W41,0,0,1,L
AUTOWKPLC_W41,"Overall, has the automation of jobs through new technology in the workplace","['Mostly helped American workers', 'Mostly hurt American workers', 'Neither helped nor hurt', 'Refused']",4,multi-goldilocks,FALSE,W41,0,1,0,L
MED5_W34,"Thinking about what you have heard or read, how well do you think medical researchers understand the health risks and benefits of changing a baby's genetic characteristics?","['Very well', 'Fairly well', 'Not too well', 'Not at all well', 'Refused']",5,scale-opinion,FALSE,W34,0,1,0,L
LEGALIMG_W41,"In order to maintain the strength of the U.S. economy over the next 30 years, do you think that legal immigration will need to be","['Increased', 'Maintained at current levels', 'Decreased', 'Refused']",4,multi-goldilocks,FALSE,W41,0,0,1,L
FUTRCLASSb_W41,"Over the next 30 years, do you think the share of Americans who are in Middle Class will increase, decrease, or stay about the same?","['Increase', 'Decrease', 'Stay about the same', 'Refused']",4,multi-goldilocks,FALSE,W41,0,0,1,L
HARASS1F1a_W41,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']",4,multi-tier,FALSE,W41,1,0,0,L
HARASS1F1b_W41,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding ou is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']",4,multi-tier,FALSE,W41,1,0,0,L
HARASS1F1c_W41,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']",4,multi-tier,FALSE,W41,1,0,1,L
HARASS1F1d_W41,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or ass is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']",4,multi-tier,FALSE,W41,1,0,0,L
HARASS1NOWRKF2a_W41,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']",4,multi-tier,FALSE,W41,1,0,0,L
HARASS1NOWRKF2c_W41,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']",4,multi-tier,FALSE,W41,1,0,0,L
HARASS1NOWRKF2d_W41,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']",4,multi-tier,FALSE,W41,1,0,0,L
VALUEURBAN_W32,"In general, do you think most people who live in urban areas have values that are","['Very similar to your values', 'Somewhat similar to your values', 'Somewhat different from your values', 'Very different from your values', 'Refused']",5,scale-opinion,FALSE,W32,0,0,1,L
VALUESUBURB_W32,"In general, do you think most people who live in suburban areas have values that are","['Very similar to your values', 'Somewhat similar to your values', 'Somewhat different from your values', 'Very different from your values', 'Refused']",5,scale-opinion,FALSE,W32,0,0,1,L
VALUERURAL_W32,"In general, do you think most people who live in rural areas have values that are","['Very similar to your values', 'Somewhat similar to your values', 'Somewhat different from your values', 'Very different from your values', 'Refused']",5,scale-opinion,FALSE,W32,0,0,1,L
GAP21Q23_W82,"In the US, do you think discrimination against people based on their race or ethnicity is a","['Very serious problem', 'Somewhat serious problem', 'Not too serious problem', 'Not a problem at all', 'Refused']",5,scale-opinion,FALSE,W82,1,0,0,L
FUTR_ABR_W41,"Thinking again about the year 2050, or 30 years from now, do you think abortion will be","['Legal with no restrictions', 'Legal but with some restrictions', 'Illegal except in certain cases', 'Illegal with no exceptions', 'Refused']",5,multi-tier,FALSE,W41,0,0,1,L
FUTR_DIV_W41,"By 2050, do you expect that people who are married will be","['More likely to get divorced than people are now', 'Less likely to get divorced than people are now', 'About as likely to get divorced as people are now', 'Refused']",4,multi-goldilocks,FALSE,W41,1,0,0,L
FUTR_M_W41,"By 2050, do you expect that people will be","['More likely to get married than people are now', 'Less likely to get married than people are now', 'About as likely to get married as people are now', 'Refused']",4,multi-goldilocks,FALSE,W41,1,0,0,L
FUTR_K_W41,"By 2050, do you expect that people will be","['More likely to have children than people are now', 'Less likely to have children than people are now', 'About as likely to have children as people are now', 'Refused']",4,multi-goldilocks,FALSE,W41,1,0,0,L
SATLIFEa_W50,Please tell us whether you are satisfied or dissatisfied with your family life.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W50,1,0,0,L
SATLIFEb_W50,Please tell us whether you are satisfied or dissatisfied with your social life.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W50,1,0,0,L
SATLIFEc_W50,Please tell us whether you are satisfied or dissatisfied with your personal financial situation.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W50,1,0,0,L
SATLIFEd_W50,Please tell us whether you are satisfied or dissatisfied with your current job or career.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W50,1,0,0,L
FAMSURV32a_W50,How do you feel about the way household chores are divided between you and your spouse/partner?,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W50,1,0,0,L
FAMSURV32b_W50,How do you feel about your sex life?,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W50,1,0,0,L
FAMSURV32c_W50,How do you feel about how well you and your spouse/partner communicate with each other?,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W50,1,0,0,L
FAMSURV32d_W50,How do you feel about how well your spouse/partner balances work and their personal life?,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W50,1,0,0,L
FAMSURV32e_W50,How do you feel about your spouse's/partner's approach to parenting?,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W50,1,0,0,L
SATLIFEA_W32,Please tell us whether you are satisfied or dissatisfied with your family life.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W32,1,0,0,L
SATLIFEB_W32,Please tell us whether you are satisfied or dissatisfied with your social life.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W32,1,0,0,L
SATLIFEC_W32,Please tell us whether you are satisfied or dissatisfied with your personal financial situation.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W32,1,0,0,L
GAP21Q6_W82,"Which statement comes closest to your own views, even if neither is exactly right? Democracy in the US","['Is a good example for other countries to follow', 'Used to be a good example, but has not been in recent years', 'Has never been a good example for other countries to follow', 'Refused']",4,multi-statement,FALSE,W82,0,0,1,L
SATLIFED_W32,Please tell us whether you are satisfied or dissatisfied with your current job or career.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W32,1,0,0,L
SATLIFEE_W32,Please tell us whether you are satisfied or dissatisfied with the quality of life in your local community.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",5,scale-opinion,FALSE,W32,1,0,0,L
GAP21Q3_W82,How satisfied are you with the way democracy is working in the US?,"['Very satisfied', 'Somewhat satisfied', 'Not too satisfied', 'Not at all satisfied', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
CARS7A_W27,How safe would you feel sharing the road with a driverless passenger vehicle?,"['Very safe', 'Somewhat safe', 'Not too safe', 'Not safe at all', 'Refused']",5,scale-opinion,FALSE,W27,0,1,0,L
CARS7B_W27,How safe would you feel sharing the road with a driverless freight truck?,"['Very safe', 'Somewhat safe', 'Not too safe', 'Not safe at all', 'Refused']",5,scale-opinion,FALSE,W27,0,1,0,L
OPTIMIST_W41,"Please think about what things will be like in 2050, about 30 years from now. Thinking about the future of the United States, would you say you are","['Very optimistic', 'Somewhat optimistic', 'Somewhat pessimistic', 'Very pessimistic', 'Refused']",5,scale-opinion,FALSE,W41,0,0,1,L
GAP21Q10_W82,"Thinking about restrictions on public activity in the US over the course of the coronavirus outbreak, do you think there should have been","['More restrictions', 'Fewer restrictions', 'The restrictions were about right', 'Refused']",4,multi-goldilocks,FALSE,W82,0,0,1,L
RACESURV13_W43,"How likely, if at all, is it that black people in our country will eventually have equal rights with whites?","['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely', 'Refused']",5,scale-opinion,FALSE,W43,1,0,0,L
GAP21Q31_W82,"How important, if at all, is it that the US is generally respected by other countries around the world?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
RACESURV48_W43,"How important, if at all, would you say it is for companies and organizations to promote racial and ethnic diversity in their workplace?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",5,scale-opinion,FALSE,W43,1,0,0,L
GAP21Q27_W82,"Do you think actions taken by the international community to address global climate change, such as the Paris climate agreement, will mostly","[""Benefit America's economy"", ""Harm America's economy"", ""Have no impact on America's economy"", 'Refused']",4,multi-statement,FALSE,W82,0,0,1,L
GAP21Q29_W82,What kind of leadership role should the US play in the world? It should,"['Be the single world leader', 'Play a shared leadership role', 'Not play any leadership role', 'Refused']",4,multi-statement,FALSE,W82,0,0,1,L
GAP21Q33_a_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think preventing the spread of weapons of mass destruction should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_b_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think protecting the jobs of American workers should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_c_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think strengthening the United Nations should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_d_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing US military commitments overseas should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_e_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of Russia should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_f_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think promoting democracy in other nations should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_g_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing illegal immigration into the US should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_h_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of China should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_i_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think maintaining the US military advantage over all other countries should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_j_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think dealing with global climate change should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_k_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing our trade deficit with foreign countries should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_l_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think promoting and defending human rights in other countries should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_m_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing the spread of infectious diseases should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_n_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of Iran should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_o_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think improving relationships with our allies should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_p_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think taking measures to protect the U.S. from terrorist attacks should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_q_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think getting other countries to assume more of the costs of maintaining world order should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_r_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think aiding refugees fleeing violence around the world should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_s_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing legal immigrations into the US should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GAP21Q33_t_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of North Korea should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",4,multi-tier,FALSE,W82,0,0,1,L
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",5,scale-opinion,FALSE,W26,1,0,0,L
NEWSPREFV2_W45,Which of the following would you say you prefer for getting news?,"['A print newspaper', 'Radio', 'Television', 'A social media site (such as Facebook, Twitter or Snapchat)', 'A news website or app', 'Refused']",6,multi-choice,FALSE,W45,0,0,1,L
GOVSIZE1_W92,"If you had to choose, would you rather have","['A smaller government providing fewer services', 'A bigger government providing more services', 'Refused']",3,bi-polarity,FALSE,W92,0,0,1,L
GAP21Q41_W82,"Overall, do you think current economic relations between the US and China are very good, somewhat good, somewhat bad or very bad?","['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
WMNPRZ1_W36,Do you think it would be a good thing or a bad thing for the country if a woman was elected president?,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'Refused']",5,scale-opinion,FALSE,W36,1,0,0,L
GAYMARR2_W32,"As you may know, same-sex marriage is now legal in the U.S. Do you think this is a good thing or a bad thing for our society?","['Very good thing', 'Somewhat good thing', 'Somewhat bad thing', 'Very bad thing', 'Refused']",5,scale-opinion,FALSE,W32,1,0,0,L
GAP21Q26_a_W82,Would you say the US is doing a good or bad job dealing with global climate change?,"['Very good job', 'Somewhat good job', 'Somewhat bad job', 'Very bad job', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
GAP21Q26_b_W82,Would you say the United Nations are doing a good or bad job dealing with global climate change?,"['Very good job', 'Somewhat good job', 'Somewhat bad job', 'Very bad job', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
GAP21Q26_c_W82,Would you say China is doing a good or bad job dealing with global climate change?,"['Very good job', 'Somewhat good job', 'Somewhat bad job', 'Very bad job', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
RACESURV2_W43,"The U.S. population is made up of people of many different races and ethnicities. Overall, do you think this is","['Very good for the country', 'Somewhat good for the country', 'Somewhat bad for the country', 'Very bad for the country', 'Neither good nor bad for the country', 'Refused']",6,scale-opinion,FALSE,W43,1,0,0,L
SOCIETY_TRANS_W92,Do you think greater social acceptance of people who are transgender (people who identify as a gender that is different from the sex they were assigned at birth) is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",6,scale-opinion,FALSE,W92,1,0,0,L
SOCIETY_RHIST_W92,Do you think increased public attention to the history of slavery and racism in America is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",6,scale-opinion,FALSE,W92,1,0,0,L
SOCIETY_JBCLL_W92,Do you think good-paying jobs requiring a college degree more often than they used to is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",6,scale-opinion,FALSE,W92,0,0,1,L
SOCIETY_RELG_W92,Do you think a decline in the share of Americans belonging to an organized religion is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",6,scale-opinion,FALSE,W92,1,0,0,L
SOCIETY_WHT_W92,Do you think white people declining as a share of the U.S. population is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",6,scale-opinion,FALSE,W92,0,0,1,L
SOCIETY_GUNS_W92,Do you think an increase in the number of guns in the U.S. is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",6,scale-opinion,FALSE,W92,0,0,1,L
SOCIETY_SSM_W92,Do you think same-sex marriages being legal in the U.S. is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",6,scale-opinion,FALSE,W92,1,0,0,L
GAP21Q4_a_W82,Do you have a favorable or unfavorable opinion of the United States,"['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
GAP21Q4_b_W82,Do you have a favorable or unfavorable opinion of China,"['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
GAP21Q4_c_W82,Do you have a favorable or unfavorable opinion of Germany,"['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
GAP21Q4_d_W82,Do you have a favorable or unfavorable opinion of the European Union,"['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
GAP21Q4_e_W82,Do you have a favorable or unfavorable opinion of the United Nations,"['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
GAP21Q4_f_W82,"Do you have a favorable or unfavorable opinion of nato, that is, North Atlantic Treaty Organization","['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
ECON1B_W54,"A year from now, do you expect that economic conditions in the country as a whole will be","['Better', 'Worse', 'About the same as now', 'Refused']",4,multi-goldilocks,FALSE,W54,0,0,1,L
ROBJOB3A_W27,"How enthusiastic are you, if at all, about the possibility of robots and computers being able to do most of the jobs currently done by humans in the future, for society as a whole?","['Very enthusiastic', 'Somewhat enthusiastic', 'Not too enthusiastic', 'Not at all enthusiastic', 'Refused']",5,scale-opinion,FALSE,W27,0,1,0,L
GAP21Q34_a_W82,"Thinking about Joe Biden's ability to handle a number of things, how confident are you that Joe Biden can do make good decisions about international trade?","['Very confident', 'Somewhat confident', 'Not too confident', 'Not at all confident', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
GAP21Q34_b_W82,"Thinking about Joe Biden's ability to handle a number of things, how confident are you that Joe Biden can do deal effectively with the threat of terrorism?","['Very confident', 'Somewhat confident', 'Not too confident', 'Not at all confident', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
GAP21Q34_c_W82,"Thinking about Joe Biden's ability to handle a number of things, how confident are you that Joe Biden can do make good decisions about the use of military force?","['Very confident', 'Somewhat confident', 'Not too confident', 'Not at all confident', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
GAP21Q34_d_W82,"Thinking about Joe Biden's ability to handle a number of things, how confident are you that Joe Biden can do deal effectively with global climate change?","['Very confident', 'Somewhat confident', 'Not too confident', 'Not at all confident', 'Refused']",5,scale-opinion,FALSE,W82,0,0,1,L
