,key,num options,orig alpha,reversed alpha
10,LEGALIMG_W41,3,"In order to maintain the strength of the U.S. economy over the next 30 years, do you think that legal immigration will need to be
A. Increased
B. Maintained at current levels
C. Decreased","In odrer to mtniaain the srttgenh of the U.S. enoocmy over the next 30 years, do you tnhik that legal itoraigimmn will need to be
A. Increased
B. Maintained at current levels
C. Decreased"
11,HARASS1F1a_W41,3,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually is?
A. Major problem
B. Minor problem
C. Not a problem","When it coems to sauexl hsrmasaent and sxauel aualsst in the wolkrcape today, how much of a problem, if at all, wolud you say wemon cnaiimlg they have einxrcpeeed sxaeul hamnsersat or aalusst when it hasn't autallcy is?
A. Major problem
B. Minor problem
C. Not a problem"
12,HARASS1F1b_W41,3,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding ou is?
A. Major problem
B. Minor problem
C. Not a problem","When it comes to sxaeul hnesmsarat and seuxal aulasst in the wrkapcloe today, how much of a problem, if at all, wluod you say elymepors fnirig men who have been acuecsd of saexul hemraansst or alsuast bofree finidng ou is?
A. Major problem
B. Minor problem
C. Not a problem"
13,HARASS1F1c_W41,3,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?
A. Major problem
B. Minor problem
C. Not a problem","When it ceoms to seuaxl hrsmsaneat and seaxul assualt in the wrcklapoe today, how much of a problem, if at all, wuold you say men gttnieg away with cnimmtotig saexul hesarmanst or aulssat is?
A. Major problem
B. Minor problem
C. Not a problem"
14,HARASS1F1d_W41,3,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or ass is?
A. Major problem
B. Minor problem
C. Not a problem","When it cemos to sueaxl hmreaansst and sxuael alassut in the wopkralce today, how much of a problem, if at all, wloud you say wmeon not being beveield when they cialm that they have eneercpexid sexaul hasmrenast or ass is?
A. Major problem
B. Minor problem
C. Not a problem"
15,HARASS1NOWRKF2a_W41,3,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?
A. Major problem
B. Minor problem
C. Not a problem","When it coems to suxael hmraaesnst and seaxul auasslt today, how much of a problem, if at all, wluod you say weomn canmliig they have erenxiecepd suexal hmearasnst or aauslst when it hasn't aatlcluy ocerucrd is?
A. Major problem
B. Minor problem
C. Not a problem"
16,HARASS1NOWRKF2c_W41,3,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?
A. Major problem
B. Minor problem
C. Not a problem","When it comes to seauxl hamsneasrt and seuaxl aulasst today, how much of a problem, if at all, would you say men gntteig away with cnmtoiimtg saxuel hnmasaesrt or ausslat is?
A. Major problem
B. Minor problem
C. Not a problem"
17,HARASS1NOWRKF2d_W41,3,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?
A. Major problem
B. Minor problem
C. Not a problem","When it cmeos to sauexl hsasearmnt and saxuel asaulst today, how much of a problem, if at all, wulod you say wemon not benig beeeilvd when they cilam that they have enpxeieecrd suxael hsrmaeanst or ausalst is?
A. Major problem
B. Minor problem
C. Not a problem"
18,FUTR_ABR_W41,4,"Thinking again about the year 2050, or 30 years from now, do you think abortion will be
A. Legal with no restrictions
B. Legal but with some restrictions
C. Illegal except in certain cases
D. Illegal with no exceptions","Tnkihing aagin abuot the year 2050, or 30 yares from now, do you tihnk atriobon will be
A. Legal with no restrictions
B. Legal but with some restrictions
C. Illegal except in certain cases
D. Illegal with no exceptions"
19,FUTR_DIV_W41,3,"By 2050, do you expect that people who are married will be
A. More likely to get divorced than people are now
B. Less likely to get divorced than people are now
C. About as likely to get divorced as people are now","By 2050, do you ecexpt that pelope who are mraeird will be
A. More likely to get divorced than people are now
B. Less likely to get divorced than people are now
C. About as likely to get divorced as people are now"
20,FUTR_M_W41,3,"By 2050, do you expect that people will be
A. More likely to get married than people are now
B. Less likely to get married than people are now
C. About as likely to get married as people are now","By 2050, do you eecpxt that pelpoe will be
A. More likely to get married than people are now
B. Less likely to get married than people are now
C. About as likely to get married as people are now"
21,FUTR_K_W41,3,"By 2050, do you expect that people will be
A. More likely to have children than people are now
B. Less likely to have children than people are now
C. About as likely to have children as people are now","By 2050, do you ecexpt that people will be
A. More likely to have children than people are now
B. Less likely to have children than people are now
C. About as likely to have children as people are now"
22,GAP21Q6_W82,3,"Which statement comes closest to your own views, even if neither is exactly right? Democracy in the US
A. Is a good example for other countries to follow
B. Used to be a good example, but has not been in recent years
C. Has never been a good example for other countries to follow","Wihch semeanttt cemos coseslt to your own views, even if nehiter is eacltxy right? Draecmocy in the US
A. Is a good example for other countries to follow
B. Used to be a good example, but has not been in recent years
C. Has never been a good example for other countries to follow"
23,GAP21Q10_W82,3,"Thinking about restrictions on public activity in the US over the course of the coronavirus outbreak, do you think there should have been
A. More restrictions
B. Fewer restrictions
C. The restrictions were about right","Tinkhnig abuot rotctrinises on pulbic ativtciy in the US over the csroue of the cairnrouvos outbreak, do you tihnk trhee slohud have been
A. More restrictions
B. Fewer restrictions
C. The restrictions were about right"
24,GAP21Q27_W82,3,"Do you think actions taken by the international community to address global climate change, such as the Paris climate agreement, will mostly
A. Benefit America's economy
B. Harm America's economy
C. Have no impact on America's economy","Do you think aocnits tkaen by the innoanttiearl cumtmiony to aerdsds glbaol ctalmie change, such as the Piras ciamtle agreement, will mtsloy
A. Benefit America's economy
B. Harm America's economy
C. Have no impact on America's economy"
25,GAP21Q29_W82,3,"What kind of leadership role should the US play in the world? It should
A. Be the single world leader
B. Play a shared leadership role
C. Not play any leadership role","What kind of lheriaedsp role slhuod the US play in the world? It slouhd
A. Be the single world leader
B. Play a shared leadership role
C. Not play any leadership role"
26,GAP21Q33_a_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think preventing the spread of weapons of mass destruction should be given?
A. Top priority
B. Some priority
C. No priority","Tnikhing aoubt long-range figeron poicly goals, how much priority, if any, do you think pnntieverg the seaprd of wpenaos of mass dritsoutecn sholud be given?
A. Top priority
B. Some priority
C. No priority"
27,GAP21Q33_b_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think protecting the jobs of American workers should be given?
A. Top priority
B. Some priority
C. No priority","Thinnikg about long-range fgeorin piocly goals, how much priority, if any, do you tinhk poicrtentg the jobs of Aiamcern wrkreos suolhd be given?
A. Top priority
B. Some priority
C. No priority"
28,GAP21Q33_t_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of North Korea should be given?
A. Top priority
B. Some priority
C. No priority","Thniknig about long-range fgeoirn pilcoy goals, how much priority, if any, do you tnhik lmtiiing the poewr and iunfnelce of Nroth Kroea slohud be given?
A. Top priority
B. Some priority
C. No priority"
29,INEQ3_W54,3,"In order to address economic inequality in this country, do you think our economic system
A. Requires only minor changes
B. Requires major changes
C. Needs to be completely rebuilt","In order to adsders eoimncoc ineiqtluay in this country, do you tnhik our enmioocc stseym
A. Requires only minor changes
B. Requires major changes
C. Needs to be completely rebuilt"
30,PAST_W42,3,"Compared with twenty years ago, do you think developments in science have made people's lives
A. Better
B. Worse
C. About the same","Comraped with ttwney yeras ago, do you thnik dmlotpeneevs in seiccne have made people's lievs
A. Better
B. Worse
C. About the same"
31,FUTURE_W42,3,"Looking ahead to the next twenty years, do you think developments in science will make people's lives
A. Better
B. Worse
C. About the same","Lknooig ahead to the next twteny years, do you thnik dmlvepeontes in seccine will make people's lives
A. Better
B. Worse
C. About the same"
32,POLICY3_W42,3,"In general, would you say scientific experts are
A. Usually better at making good policy decisions about scientific issues than other people
B. Usually worse at making good policy decisions about scientific issues than other people
C. neither better nor worse at making good policy decisions about scientific issues than other people","In general, would you say sftiinciec eprexts are
A. Usually better at making good policy decisions about scientific issues than other people
B. Usually worse at making good policy decisions about scientific issues than other people
C. neither better nor worse at making good policy decisions about scientific issues than other people"
33,RQ1_F1A_W42,3,"In general, would you say your view of medical research scientists is
A. Mostly positive
B. Mostly negative
C. Neither positive nor negative","In general, wloud you say your view of mcedial rarecseh scneitstis is
A. Mostly positive
B. Mostly negative
C. Neither positive nor negative"
34,RQ2_F1A_W42,3,"How much, if anything, do you know about what medical research scientists do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know about what medcial reseacrh snetitciss do?
A. A lot
B. A little
C. Nothing at all"
35,RQ2_F1B_W42,3,"How much, if anything, do you know about what environmental research scientists do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know aubot what etomniannevrl recreash stentsciis do?
A. A lot
B. A little
C. Nothing at all"
36,RQ2_F1C_W42,3,"How much, if anything, do you know about what nutrition research scientists do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know aubot what nttoriiun rsrcaeeh stnectisis do?
A. A lot
B. A little
C. Nothing at all"
37,PQ2_F2A_W42,3,"How much, if anything, do you know about what medical doctors do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know aubot what mieadcl dcroots do?
A. A lot
B. A little
C. Nothing at all"
38,PQ2_F2B_W42,3,"How much, if anything, do you know about what environmental health specialists do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know about what etmarnoevinnl hlaeth sclaieiptss do?
A. A lot
B. A little
C. Nothing at all"
39,PQ2_F2C_W42,3,"How much, if anything, do you know about what dietitians do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know abuot what daieinttis do?
A. A lot
B. A little
C. Nothing at all"
40,Q6F1_W42,3,"When you hear that scientific research findings have been reviewed by an independent committee, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way","When you hear that sieftcinic rsaceerh fniingds have been rweeeivd by an indenendpet committee, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way"
41,Q7F1_W42,3,"When you hear that data used in scientific research is being made openly available to the public, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way","When you hear that data used in sieiiftcnc rascereh is benig made opnley aliavlbae to the public, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way"
42,Q8F1_W42,3,"When you hear about scientific research that has been funded by the federal government, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way","When you hear aubot sntiiicefc recsaerh that has been funedd by the fdereal government, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way"
43,Q9F1_W42,3,"When you hear about scientific research that has been funded by an industry group, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way","When you hear about snfteiicic rrceesah that has been fudend by an idtursny group, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way"
44,RACESURV4_W43,3,"In general, do you think the fact that the U.S. population is made up of people of many different races and ethnicities has
A. A positive impact on the country's culture
B. A negative impact on the country's culture
C. Doesn't make much difference","In general, do you think the fact that the U.S. pauoitlopn is made up of ppolee of many deifnfert raecs and eihtnectiis has
A. A positive impact on the country's culture
B. A negative impact on the country's culture
C. Doesn't make much difference"
45,RACESURV11_W43,3,"Do you think race relations in the United States are
A. Getting better
B. Getting worse
C. Staying about the same","Do you thnik race rlietanos in the Utined Saetts are
A. Getting better
B. Getting worse
C. Staying about the same"
46,RACESURV12_W43,3,"When it comes to giving black people equal rights with whites, do you think our country has
A. Gone too far
B. Not gone far enough
C. Been about right","When it cmeos to givnig bcalk poplee equal rgthis with whites, do you tinhk our cntoruy has
A. Gone too far
B. Not gone far enough
C. Been about right"
47,RACESURV14_W43,4,"Would you say President Trump has
A. Made progress toward improving race relations
B. Tried but failed to make progress toward improving race relations
C. Not addressed race relations
D. Made race relations worse","Wluod you say Pdinesert Tmrup has
A. Made progress toward improving race relations
B. Tried but failed to make progress toward improving race relations
C. Not addressed race relations
D. Made race relations worse"
48,RACESURV19a_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Racial discrimination
A. Major reason
B. Minor reason
C. Not a reason","Do you tnihk each is a mjoar reason, minor reason, or not a rsaoen why balck pelpoe in our cuntory may have a hreadr time gtntieg ahaed than white people? Racail ditsoicminrain
A. Major reason
B. Minor reason
C. Not a reason"
49,MASC1F1_W29,3,"Thinking about how society sees men these days, in general, would you say
A. Most people look up to men who are manly or masculine
B. Most people look down on men who are manly or masculine
C. Neither","Thinknig about how sceioty sees men teshe days, in general, wluod you say
A. Most people look up to men who are manly or masculine
B. Most people look down on men who are manly or masculine
C. Neither"
0,GAP21Q33_c_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think strengthening the United Nations should be given?
A. Top priority
B. Some priority
C. No priority","Thininkg aubot long-range frigeon pilcoy goals, how much priority, if any, do you thnik setghennnrtig the Uitned Noanits suhold be given?
A. Top priority
B. Some priority
C. No priority"
1,GAP21Q33_d_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing US military commitments overseas should be given?
A. Top priority
B. Some priority
C. No priority","Tihnnkig auobt long-range foirgen picloy goals, how much priority, if any, do you think rdcuineg US mlatiriy cinmetmotms ovsaeers sluhod be given?
A. Top priority
B. Some priority
C. No priority"
2,GAP21Q33_e_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of Russia should be given?
A. Top priority
B. Some priority
C. No priority","Thniikng auobt long-range fgorein plicoy goals, how much priority, if any, do you thnik lminiitg the pwoer and iunlnefce of Rsusia souhld be given?
A. Top priority
B. Some priority
C. No priority"
3,GAP21Q33_f_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think promoting democracy in other nations should be given?
A. Top priority
B. Some priority
C. No priority","Tnnhkiig aoubt long-range fgroien pocliy goals, how much priority, if any, do you think poonritmg dcrmoecay in ohter ntaoins slhuod be given?
A. Top priority
B. Some priority
C. No priority"
4,GAP21Q33_g_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing illegal immigration into the US should be given?
A. Top priority
B. Some priority
C. No priority","Tnihnikg auobt long-range firoegn picoly goals, how much priority, if any, do you think rnieducg iegllal imiimgoratn into the US sluhod be given?
A. Top priority
B. Some priority
C. No priority"
5,GAP21Q33_h_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of China should be given?
A. Top priority
B. Some priority
C. No priority","Tnihnkig aoubt long-range frigoen pcoliy goals, how much priority, if any, do you tnhik litmiing the peowr and inlefcnue of Chnia slouhd be given?
A. Top priority
B. Some priority
C. No priority"
6,GAP21Q33_i_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think maintaining the US military advantage over all other countries should be given?
A. Top priority
B. Some priority
C. No priority","Tnnkhiig auobt long-range fgrieon plicoy goals, how much priority, if any, do you tnhik mtiaiinanng the US mtiraliy avntgaade over all otehr cotnuiers suhlod be given?
A. Top priority
B. Some priority
C. No priority"
7,GAP21Q33_j_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think dealing with global climate change should be given?
A. Top priority
B. Some priority
C. No priority","Tnikinhg about long-range freogin pciloy goals, how much priority, if any, do you tihnk dlinaeg with goabll clatime cahgne soluhd be given?
A. Top priority
B. Some priority
C. No priority"
8,GAP21Q33_k_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing our trade deficit with foreign countries should be given?
A. Top priority
B. Some priority
C. No priority","Tikihnng aoubt long-range ferigon plociy goals, how much priority, if any, do you tnhik rcdueing our tdare dicfiet with fegoirn cotreuins sulohd be given?
A. Top priority
B. Some priority
C. No priority"
9,GAP21Q33_l_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think promoting and defending human rights in other countries should be given?
A. Top priority
B. Some priority
C. No priority","Tkihning auobt long-range fiegron pclioy goals, how much priority, if any, do you tihnk porotimng and dnedefnig hmuan rthgis in oethr cteuinors should be given?
A. Top priority
B. Some priority
C. No priority"
10,GAP21Q33_m_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing the spread of infectious diseases should be given?
A. Top priority
B. Some priority
C. No priority","Tinknihg aubot long-range fgorien picloy goals, how much priority, if any, do you tnhik rcnuedig the speard of iotunifecs deasseis shluod be given?
A. Top priority
B. Some priority
C. No priority"
11,GAP21Q33_n_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of Iran should be given?
A. Top priority
B. Some priority
C. No priority","Tnnihkig aoubt long-range frgioen plociy goals, how much priority, if any, do you tihnk lnmtiiig the pewor and iunnclfee of Iran shluod be given?
A. Top priority
B. Some priority
C. No priority"
12,GAP21Q33_o_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think improving relationships with our allies should be given?
A. Top priority
B. Some priority
C. No priority","Thniikng abuot long-range froigen poilcy goals, how much priority, if any, do you tnhik iirmovpng rpnlsiahteois with our aeills souhld be given?
A. Top priority
B. Some priority
C. No priority"
13,GAP21Q33_p_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think taking measures to protect the U.S. from terrorist attacks should be given?
A. Top priority
B. Some priority
C. No priority","Tinkhing aoubt long-range feirogn pcoily goals, how much priority, if any, do you thnik tniakg mrueaess to pcterot the U.S. from trrrsieot ackttas sluhod be given?
A. Top priority
B. Some priority
C. No priority"
14,GAP21Q33_q_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think getting other countries to assume more of the costs of maintaining world order should be given?
A. Top priority
B. Some priority
C. No priority","Tihninkg about long-range figreon piolcy goals, how much priority, if any, do you tinhk gttieng otehr ciurneots to asusme more of the cstos of mnaitaining wlord odrer sulhod be given?
A. Top priority
B. Some priority
C. No priority"
15,GAP21Q33_r_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think aiding refugees fleeing violence around the world should be given?
A. Top priority
B. Some priority
C. No priority","Tininkhg aobut long-range froiegn poilcy goals, how much priority, if any, do you think aiding reueefgs flneeig vinecole around the wlord soluhd be given?
A. Top priority
B. Some priority
C. No priority"
16,GAP21Q33_s_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing legal immigrations into the US should be given?
A. Top priority
B. Some priority
C. No priority","Tnihinkg aoubt long-range fgieorn plcioy goals, how much priority, if any, do you thnik rudinceg lgael imgroaimnits into the US suhold be given?
A. Top priority
B. Some priority
C. No priority"
17,ECON1B_W54,3,"A year from now, do you expect that economic conditions in the country as a whole will be
A. Better
B. Worse
C. About the same as now","A year from now, do you ecexpt that emnoicoc coidonints in the cortnuy as a whole will be
A. Better
B. Worse
C. About the same as now"
18,INEQ1_W54,3,"Thinking about the level of economic inequality in the country these days, would you say there is
A. Too much economic inequality
B. Too little economic inequality
C. About the right amount of economic inequality","Tihinnkg abuot the level of eoconmic iiteuqlany in the cnrotuy these days, would you say there is
A. Too much economic inequality
B. Too little economic inequality
C. About the right amount of economic inequality"
19,Q6F2_W42,3,"When you hear that a science practitioner's recommendation is based on a review from an independent committee, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way","When you hear that a senccie practitioner's rdinteaomoecmn is bsead on a review from an iedenepnndt committee, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way"
20,Q7F2_W42,3,"When you hear that a science practitioner is open to getting a second opinion on their recommendation, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way","When you hear that a sneccie praotiintcer is open to gtinteg a second opionin on tiher recommendation, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way"
21,Q8F2_W42,3,"When you hear that a science practitioner has received financial incentives from the federal government related to their work, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way","When you hear that a secncie pattiniocrer has reveceid fcainanil incinevets from the fedaerl grmenveont raeeltd to their work, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way"
22,Q9F2_W42,3,"When you hear that a science practitioner has received financial incentives from an industry group related to their work, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way","When you hear that a sccniee poiaeictntrr has reevcied faniancil iictenevns from an iutdrnsy gurop rlteead to tiehr work, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way"
23,RACESURV3_W43,3,"In general, do you think the fact that the U.S. population is made up of people of many different races and ethnicities makes it
A. Easier for policymakers to solve the country's problems
B. Harder for policymakers to solve the country's problems
C. Doesn't make much difference","In general, do you thnik the fact that the U.S. puitplaoon is made up of polepe of many drifeefnt rceas and eitnhitices maeks it
A. Easier for policymakers to solve the country's problems
B. Harder for policymakers to solve the country's problems
C. Doesn't make much difference"
24,RACESURV19b_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Lack of motivation to work hard
A. Major reason
B. Minor reason
C. Not a reason","Do you think each is a mojar reason, moinr reason, or not a raosen why baclk polepe in our ctrnuoy may have a harder time geinttg ahead than wthie people? Lack of motoaitivn to work hard
A. Major reason
B. Minor reason
C. Not a reason"
25,RACESURV19c_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Less access to good quality schools
A. Major reason
B. Minor reason
C. Not a reason","Do you think each is a maojr reason, mnior reason, or not a roesan why bclak pelope in our conurty may have a headrr time gttineg aeahd than withe people? Less access to good qltiauy scloohs
A. Major reason
B. Minor reason
C. Not a reason"
26,RACESURV19d_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Lack of good role models
A. Major reason
B. Minor reason
C. Not a reason","Do you think each is a mjaor reason, mnior reason, or not a rseoan why bcalk polpee in our crtnouy may have a hadrer time gntteig ahead than whtie people? Lack of good role mdoles
A. Major reason
B. Minor reason
C. Not a reason"
27,RACESURV19e_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Less access to high-paying jobs
A. Major reason
B. Minor reason
C. Not a reason","Do you tnihk each is a mojar reason, mionr reason, or not a rseaon why balck pleope in our cuntory may have a headrr time gintteg aehad than withe people? Less acsecs to high-paying jobs
A. Major reason
B. Minor reason
C. Not a reason"
28,RACESURV19f_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Family instability
A. Major reason
B. Minor reason
C. Not a reason","Do you tinhk each is a mjaor reason, moinr reason, or not a reason why balck polepe in our crotuny may have a hedarr time gtntieg ahead than withe people? Fmialy iabtnstiily
A. Major reason
B. Minor reason
C. Not a reason"
29,RACESURV51_W43,3,"Thinking about the community where you live, do you wish your community was
A. More racially mixed
B. Less racially mixed
C. About as racially mixed as it is","Tiknnihg aoubt the ctummnioy where you live, do you wish your cmmutoiny was
A. More racially mixed
B. Less racially mixed
C. About as racially mixed as it is"
30,FAMSURV2Ma_W50,3,"In general, how important, if at all, is being married in order for a man to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is bineg mraeird in order for a man to live a fulnlfiilg life?
A. Essential
B. Important, but not essential
C. Not important"
31,FAMSURV2Mb_W50,3,"In general, how important, if at all, is being in a committed romantic relationship in order for a man to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is benig in a ctimtmeod rmotainc riinsahteolp in oredr for a man to live a fnillulifg life?
A. Essential
B. Important, but not essential
C. Not important"
32,FAMSURV2Mc_W50,3,"In general, how important, if at all, is having children in order for a man to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is hnavig chdirlen in order for a man to live a fnifillulg life?
A. Essential
B. Important, but not essential
C. Not important"
33,FAMSURV2Md_W50,3,"In general, how important, if at all, is having a job or career they enjoy in order for a man to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is hniavg a job or career they ejony in oredr for a man to live a finlfuillg life?
A. Essential
B. Important, but not essential
C. Not important"
34,FAMSURV2Me_W50,3,"In general, how important, if at all, is having a lot of money in order for a man to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is havnig a lot of money in oredr for a man to live a flunifllig life?
A. Essential
B. Important, but not essential
C. Not important"
35,FAMSURV2Wa_W50,3,"In general, how important, if at all, is being married in order for a woman to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is bneig mareird in oredr for a wamon to live a fifiunlllg life?
A. Essential
B. Important, but not essential
C. Not important"
36,FAMSURV2Wb_W50,3,"In general, how important, if at all, is being in a committed romantic relationship in order for a woman to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is being in a cometimtd rtmoniac resiitlohnap in oredr for a woamn to live a flulifnilg life?
A. Essential
B. Important, but not essential
C. Not important"
