key,num options,orig alpha,pos alpha
SCM5j_W42,2,"In general, would you say the following statements describes most research scientists well? Feel superior to others
A. Describes research scientists well
B. Does not describe research scientists well","Wouldn't you agree that most research scientists feel superior to others?
A. Yes
B. No"
GAP21Q30_W82,2,"Should the US be the most active of the leading nations, or should it be about as active as other leading nations?
A. Most active
B. About as active","Shouldn't the US be the most active of the leading nations?
A. Yes
B. No"
SSCUT_W41,2,"Thinking about the long-term future of Social Security, which statement comes closer to your view, even if neither is exactly right?
A. Some reductions in benefits for future retirees will need to be made
B. Social Security benefits should not be reduced in any way","Thinking about the long-term future of Social Security, would you agree that some reductions in benefits for future retirees will need to be made?
A. Yes
B. No"
GAP21Q18_W82,2,"Which statement comes closer to your view, even if neither is exactly right? The US should
A. Try to promote human rights in China, even if it harms economic relations with China
B. Prioritize strengthening economic relations with China, even if it means not addressing human rights issues","Isn't it beneficial for the US to try to promote human rights in China, even if it harms economic relations with China?
A. Yes
B. No"
GAP21Q35_W82,2,"Which statement comes closer to your view, even if neither is exactly right?
A. many of the problems facing our country can be solved by working with other countries
B. few of the problems facing our country can be solved by working with other countries","Wouldn't you agree that many of the problems facing our country can be solved by working with other countries?
A. Yes
B. No"
GAP21Q36_W82,2,"Please choose the statement that comes closer to your own views.
A. In foreign policy, the US should take into account the interests of its allies even if it means making compromises
B. In foreign policy, the US should follow its own national interests even when its allies strongly disagree","In foreign policy, don't you think that the US should take into account the interests of its allies even if it means making compromises?
A. Yes
B. No"
GAP21Q37_W82,2,"Please choose the statement that comes closer to your own views.
A. It's best for the future of our country to be active in world affairs
B. We should pay less attention to problems overseas and concentrate on problems here at home","Wouldn't you agree that it's best for the future of our country to be active in world affairs rather than concentrating on problems here at home?
A. Yes
B. No"
GAP21Q42_W82,2,"Thinking about our economic and trade policy toward China, which is more important?
A. Building a strong relationship with China on economic issues
B. Getting tougher with China on economic issues","Thinking about our economic and trade policy toward China, don't you think it is more important to build a strong relationship with China on economic issues?
A. Yes
B. No"
INEQ2_W54,2,"Do you think that
A. Some amount of economic inequality is acceptable
B. No amount of economic inequality is acceptable","Wouldn't you agree that some amount of economic inequality is acceptable?
A. Yes
B. No"
INEQ9_W54,2,"In order to address economic inequality in this country, do you think it would be better for the government to
A. Give direct assistance to people who are poor in the form of cash payments or tax credits
B. Invest in education and job training programs for people who are poor","In order to address economic inequality in this country, don't you think it would be better for the government to give direct assistance to people who are poor in the form of cash payments or tax credits rather than investing in education and job training programs?
A. Yes
B. No"
INEQ10_W54,2,"In order to address economic inequality in this country, do you think the government
A. Should raise taxes on the wealthiest Americans
B. Should not raise taxes on the wealthiest Americans","In order to address economic inequality in this country, wouldn't you agree that the government should raise taxes on the wealthiest Americans?
A. Yes
B. No"
INEQ11_W54,2,"In order to address economic inequality in this country, do you think the government
A. Should raise taxes on people like you
B. Should not raise taxes on people like you","In order to address economic inequality in this country, wouldn't you agree that the government should raise taxes on people like you?
A. Yes
B. No"
WORKHARD_W53,2,"Please choose the statement that comes closer to your own views.
A. Most people who want to get ahead can make it if they're willing to work hard
B. Hard work and determination are no guarantee of success for most people","Wouldn't you agree that most people who want to get ahead can make it if they're willing to work hard?
A. Yes
B. No"
POOREASY_W53,2,"Please choose the statement that comes closer to your own views.
A. Poor people today have it easy because they can get government benefits without doing anything in return
B. Poor people have hard lives because government benefits don't go far enough to help them live decently","Don't you think that poor people today have it easy because they can get government benefits without doing anything in return?
A. Yes
B. No"
ECONFAIR_W53,2,"Please choose the statement that comes closer to your own views
A. The economic system in this country unfairly favors powerful interests
B. The economic system in this country is generally fair to most Americans","Wouldn't you agree that the economic system in this country unfairly favors powerful interests?
A. Yes
B. No"
POLICY1_W42,2,"Which of these statements comes closer to your own view, even if neither is exactly right?
A. Scientists should take an active role in public policy debates about scientific issues
B. Scientists should focus on establishing sound scientific facts and stay out of public policy debates","Don't you believe that scientists should take an active role in public policy debates about scientific issues rather than staying out of public policy debates?
A. Yes
B. No"
POLICY2_W42,2,"Which of these statements comes closer to your own view, even if neither is exactly right?
A. Public opinion should play an important role to guide policy decisions about scientific issues
B. Public opinion should not play an important role to guide policy decisions about scientific issues because these issues","Wouldn't you agree that public opinion should play an important role to guide policy decisions about scientific issues?
A. Yes
B. No"
RQ6_F1A_W42,2,"When you hear or read news stories about research misconduct by medical research scientists, do you think of these cases as
A. Isolated incidents
B. Signs of a broader problem","When you hear or read news stories about research misconduct by medical research scientists, wouldn't you think of these cases as isolated incidents rather than signs of a broader problem?
A. Yes
B. No"
RQ7_F1A_W42,2,"When you hear about problems with research misconduct among medical research scientists, which comes closer to your view, even if neither is exactly right?
A. Most medical research scientists have good intentions, it's the research system that's broken
B. The research system can work fine, it's the medical research scientists that are the problem","When you hear about problems with research misconduct among medical research scientists, don't you think that most medical research scientists have good intentions, it's the research system that's broken?
A. Yes
B. No"
RQ6_F1B_W42,2,"When you hear or read news stories about research misconduct by environmental research scientists, do you think of these cases as
A. Isolated incidents
B. Signs of a broader problem","When you hear or read news stories about research misconduct by environmental research scientists, wouldn't you think of these cases as isolated incidents rather than signs of a broader problem?
A. Yes
B. No"
RQ7_F1B_W42,2,"When you hear about problems with research misconduct among environmental research scientists, which comes closer to your view, even if neither is exactly right?
A. Most environmental research scientists have good intentions, it's the research system that's broken
B. The research system can work fine, it's the environmental research scientists that are the problem","When you hear about problems with research misconduct among environmental research scientists, don't you think that most medical research scientists have good intentions, it's the research system that's broken?
A. Yes
B. No"
RQ6_F1C_W42,2,"When you hear or read news stories about research misconduct by nutrition research scientists, do you think of these cases as
A. Isolated incidents
B. Signs of a broader problem","When you hear or read news stories about research misconduct by nutrition research scientists, wouldn't you think of these cases as isolated incidents rather than signs of a broader problem?
A. Yes
B. No"
RQ7_F1C_W42,2,"When you hear about problems with research misconduct among nutrition research scientists, which comes closer to your view, even if neither is exactly right?
A. Most nutrition research scientists have good intentions, it's the research system that's broken
B. The research system can work fine, it's the nutrition research scientists that are the problem","When you hear about problems with research misconduct among nutrition research scientists, don't you think that most medical research scientists have good intentions, it's the research system that's broken?
A. Yes
B. No"
PQ6_F2A_W42,2,"When you hear or read news stories about professional misconduct by medical doctors, do you think of these cases as
A. Isolated incidents
B. Signs of a broader problem","When you hear or read news stories about research misconduct by medical doctors, wouldn't you think of these cases as isolated incidents rather than signs of a broader problem?
A. Yes
B. No"
PQ7_F2A_W42,2,"When you hear about problems with professional misconduct among medical doctors, which comes closer to your view, even if neither is exactly right?
A. Most medical doctors have good intentions, it's the system that's broken
B. The system can work fine, it's the medical doctors that are the problem","When you hear about problems with research misconduct among medical doctors, don't you think that most medical research scientists have good intentions, it's the research system that's broken?
A. Yes
B. No"
PQ6_F2B_W42,2,"When you hear or read news stories about professional misconduct by environmental health specialists, do you think of these cases as
A. Isolated incidents
B. Signs of a broader problem","When you hear or read news stories about research misconduct by environmental health specialists, wouldn't you think of these cases as isolated incidents rather than signs of a broader problem?
A. Yes
B. No"
PQ7_F2B_W42,2,"When you hear about problems with professional misconduct among environmental health specialists, which comes closer to your view, even if neither is exactly right?
A. Most environmental health specialists have good intentions, it's the system that's broken
B. The system can work fine, it's the environmental health specialists that are the problem","When you hear about problems with research misconduct among environmental health specialists, don't you think that most medical research scientists have good intentions, it's the research system that's broken?
A. Yes
B. No"
PQ6_F2C_W42,2,"When you hear or read news stories about professional misconduct by dietitians, do you think of these cases as
A. Isolated incidents
B. Signs of a broader problem","When you hear or read news stories about research misconduct by dietitians, wouldn't you think of these cases as isolated incidents rather than signs of a broader problem?
A. Yes
B. No"
PQ7_F2C_W42,2,"When you hear about problems with professional misconduct among dietitians, which comes closer to your view, even if neither is exactly right?
A. Most dietitians have good intentions, it's the system that's broken
B. The system can work fine, it's the dietitians that are the problem","When you hear about problems with research misconduct among dietitians, don't you think that most medical research scientists have good intentions, it's the research system that's broken?
A. Yes
B. No"
SCM2_W42,2,"Which of the following best describes what you think about the scientific method?
A. The scientific method generally produces accurate conclusions
B. The scientific method can be used to produce any conclusion the researcher wants","Wouldn't you agree that the scientific method generally produces accurate conclusions?
A. Yes
B. No"
SCM3_W42,2,"Which of these statements comes closer to your own view, even if neither is exactly right?
A. Scientists make judgments based solely on the facts
B. Scientists' judgments are just as likely to be biased as other people's","Wouldn't you agree that scientists make judgments based solely on the facts and are not just as likely to be biased as other people?
A. Yes
B. No"
POP1_W42,2,"Which of these statements comes closer to your view, even if neither is exactly right?
A. Ordinary people would do a better job solving the country's problems than elected officials
B. Ordinary people would do no better solving the country's problems than elected officials","Don't you think that ordinary people would do a better job solving the country's problems than elected officials?
A. Yes
B. No"
POP3_W42,2,"Which of these do you think is the better way to solve the country's most pressing problems, even if neither is exactly right?
A. Rely more on people who are considered experts about the problems, even if they don't have much practical experience
B. Rely more on people with practical experience with the problems, even if they aren't considered experts","To solve the country's most pressing problems, don't you think it is better to rely more on people who are considered experts rather than people with practical experience with the problems?
A. Yes
B. No"
RACESURV6_W43,2,"When it comes to racial discrimination, which do you think is the bigger problem for the country today?
A. People seeing racial discrimination where it really does not exist
B. People not seeing racial discrimination where it really does exist","When it comes to racial discrimination, don't you think it is a bigger problem that people are seeing racial discrimination where it really does not exist?
A. Yes
B. No"
RACESURV16_W43,2,"When it comes to improving race relations, do you think it is more important for people to focus on
A. The unique experiences of different racial and ethnic groups
B. What different racial and ethnic groups have in common","When it comes to improving race relations, don't you think it is more important for people to focus on the unique experiences of different racial and ethnic groups have in common rather than what different groups have in common?
A. Yes
B. No"
RACESURV49_W43,2,"When it comes to decisions about hiring and promotions, do you think companies and organizations
A. Should take a person's race and ethnicity into account, in addition to their qualifications, in order to increase diversity
B. Should only take a person's qualifications into account, even if it results in less diversity in the workplace","When it comes to decisions about hiring and promotions, don't you think companies and organizations should take a person's race and ethnicity into account, in addition to their qualifications, in order to increase diversity?
A. Yes
B. No"
RACESURV50_W43,2,"When it comes to the schools students attend, do you think students
A. Should go to schools that are racially and ethnically mixed, even if it means that some students don't go to school in their local community
B. Should go to schools in their local community, even if it means that most schools are not racially and ethnically mixed","When it comes to the schools students attend, wouldn't you agree that students should go to schools that are racially and ethnically mixed, even if it means that some students don't go to school in their local community?
A. Yes
B. No"
FAMSURV4_W50,2,"Which statement comes closer to your view?
A. Society is better off if couples who want to stay together long-term eventually get married
B. Society is just as well off if couples who want to stay together long-term decide not to marry","Wouldn't you believe society is better off if couples who want to stay together long-term eventually get married?
A. Yes
B. No"
FAMSURV8_W50,2,"Which statement comes closer to your view?
A. Couples who are married do a better job raising children than couples who are living together but are not married
B. Couples who are living together but are not married can raise children just as well as married couples","Wouldn't you believe couples who are married do a better job raising children than couples who are living together but are not married?
A. Yes
B. No"
BIGHOUSES_W92,2,"Would you prefer to live in a community where the houses are
A. Larger and farther apart, but schools, stores, and restaurants are several miles away
B. Smaller and closer to each other, but schools, stores, and restaurants are within walking distance","Wouldn't you prefer to live in a community where the houses are larger and farther apart, but schools, stores, and restaurants are several miles away rather than smaller and closer to each other, but schools, stores, and restaurants are within walking distance?
A. Yes
B. No"
WOMENOBS_W92,2,"Please choose the statement that comes closer to your own views.
A. The obstacles that once made it harder for women than men to get ahead are now largely gone
B. There are still significant obstacles that make it harder for women to get ahead than men","Wouldn't you say that the obstacles that once made it harder for women than men to get ahead are now largely gone?
A. Yes
B. No"
ECONFAIR_W92,2,"Please choose the statement that comes closer to your own views.
A. The economic system in this country unfairly favors powerful interests
B. The economic system in this country is generally fair to most Americans","Wouldn't you agree that the economic system in this country unfairly favors powerful interests?
A. Yes
B. No"
OPENIDEN_W92,2,"Please choose the statement that comes closer to your own views.
A. America's openness to people from all over the world is essential to who we are as a nation
B. If America is too open to people from all over the world, we risk losing our identity as a nation","Don't you think that America's openness to people from all over the world is essential to who we are as a nation?
A. Yes
B. No"
VTRGHTPRIV1_W92,2,"Please choose the statement that comes closer to your own views.
A. Voting is a fundamental right for every adult U.S. citizen and should not be restricted in any way
B. Voting is a privilege that comes with responsibilities and can be limited if adult U.S. citizens don't meet some require","Don't you agree that voting is a fundamental right for every adult U.S. citizen and should not be restricted in any way?
A. Yes
B. No"
ALLIES_W92,2,"Please choose the statement that comes closer to your own views.
A. In foreign policy, the U.S. should take into account the interests of its allies even if it means making compromises
B. In foreign policy, the U.S. should follow its own national interests even when its allies strongly disagree","In foreign policy, don't you think that the U.S. should take into account the interests of its allies even if it means making compromises?
A. Yes
B. No"
PEACESTR_W92,2,"Please choose the statement that comes closer to your own views.
A. The best way to ensure peace is through military strength
B. Good diplomacy is the best way to ensure peace","Would you say that the best way to ensure peace is through military strength rather than diplomacy?
A. Yes
B. No"
GOVWASTE_W92,2,"Please choose the statement that comes closer to your own views.
A. Government is almost always wasteful and inefficient
B. Government often does a better job than people give it credit for","Don't you think that government is almost always wasteful and efficient, doing a worse job than people give it credit for?
A. Yes
B. No"
PAR2CHILD_W92,2,"Children with two parents are
A. Better off when a parent stays home to focus on the family
B. Just as well off when their parents work outside the home","Don't you think that children with two parents are better off when a parent stays at home to focus on the family?
A. Yes
B. No"
SUPERPWR_W92,2,"In the future, do you think
A. U.S. policies should try to keep it so America is the only military superpower
B. It would be acceptable if another country became as militarily powerful as the U.S.","In the future, wouldn't you agree that U.S. policies should try to keep it so America is the only military superpower?
A. Yes
B. No"
GLBLZE_W92,2,"All in all, would you say that the U.S. has
A. Gained more than it has lost from increased trade
B. Lost more than it has gained from increased trade","All in all, wouldn't you agree that the U.S. has gained more than it has lost from increased trade?
A. Yes
B. No"
FP_AUTH_W92,2,"In foreign policy, the U.S. should
A. Work with any country to achieve U.S. goals, even if that sometimes means working closely with dictators or countries that do not share our democratic values
B. Not work with dictators or countries that do not share our democratic values, even if that sometimes makes it harder to","In foreign policy, would you say that the U.S. should work with any country to achieve U.S. goals even if it means working closely with dictators or countries that do not share our democratic values?
A. Yes
B. No"
SNGLPYER_W92,2,"Should health insurance
A. Be provided through a single national health insurance system run by the government
B. Continue to be provided through a mix of private insurance companies and government programs","Don't you think that health insurance should be provided through a single national health insurance system run by the government rather than continuing to be provided through a mix of private insurance companies and government programs?
A. Yes
B. No"
NOGOVTHC_W92,2,"Should the government
A. Not be involved in providing health insurance at all
B. Continue programs like Medicare and Medicaid for seniors and the very poor","Wouldn't you say that the government should not be involved in providing health insurance at all?
A. Yes
B. No"
PROG_RNEED2b_W92,2,"Which comes closer to your view about what needs to be done to ensure equal rights for all Americans regardless of their racial or ethnic backgrounds?
A. Most U.S. laws and major institutions need to be completely rebuilt because they are fundamentally biased against some racial or ethnical backgrounds
B. While there are many inequities in U.S. laws and institutions, necessary changes can be made by working within the current laws","To ensure equal rights for all Americans regardless of their racial or ethnic backgrounds, don't you think that most U.S. laws and major institutions need to be completely rebuilt because they are fundamentally biased against some racial or ethnical backgrounds?
A. Yes
B. No"
BUSPROFIT_W92,2,"Please choose the statement that comes closer to your own views.
A. Business corporations make too much profit
B. Most corporations make a fair and reasonable amount of profit","Wouldn't you agree that business corporations make too much profit?
A. Yes
B. No"
CNTRYFAIR_W92,2,"Please choose the statement that comes closer to your own views.
A. Other countries generally treat the United States about as fairly as we treat them
B. Other countries often take unfair advantage of the United States","Don't you think that other countries generally treat the United States about as fairly as we treat them?
A. Yes
B. No"
GOVPROTCT_W92,2,"Please choose the statement that comes closer to your own views.
A. It's not the government's job to protect people from themselves
B. Sometimes laws to protect people from themselves are necessary","Don't you believe that it's not the government's job to protect people from themselves?
A. Yes
B. No"
MARRFAM_W92,2,"Please choose the statement that comes closer to your own views.
A. Society is better off if people make marriage and having children a priority
B. Society is just as well off if people have priorities other than marriage and children","Would you agree that society is better off if people make marriage and having children a priority?
A. Yes
B. No"
GOVAID_W92,2,"Please choose the statement that comes closer to your own views.
A. Government aid to the poor does more harm than good, by making people too dependent on government assistance
B. Government aid to the poor does more good than harm, because people can't get out of poverty until their basic needs are","Don't you think that government aid to the poor does more harm than good, by making people too dependent on government assistance?
A. Yes
B. No"
RELIG_GOV_W92,2,"Please choose the statement that comes closer to your own views.
A. Religion should be kept separate from government policies
B. Government policies should support religious values and beliefs","Wouldn't you agree that religion should be kept separate from government policies?
A. Yes
B. No"
GOODEVIL_W92,2,"Please choose the statement that comes closer to your own views.
A. Most things in society can be pretty clearly divided into good and evil
B. Most things in society are too complicated to be clearly divided between good and evil","Would you agree that most things in society can be pretty clearly divided into good and evil?
A. Yes
B. No"
PPLRESP_W92,2,"Please choose the statement that comes closer to your own views.
A. People like me just don't get the respect we deserve in this country
B. People like me generally get the respect we deserve in this country","Wouldn't you agree more with the statement that ""People like me just don't get the respect we deserve in this country"" than the statement ""People like me generally get the respect we deserve in this country""?
A. Yes
B. No"
INFOKNOWa_W45,2,"How do you feel about the average American's ability to recognize the following type of news and information? Made-up information that is intended to mislead the public
A. The average American should be able to recognize it
B. It is too much to ask of the average American to be able to recognize it","Don't you think the average American should be able to recognize the following type of news and information? Made-up information that is intended to mislead the public
A. Yes
B. No"
INFOKNOWb_W45,2,"How do you feel about the average American's ability to recognize the following type of news and information? Satire about an issue or event
A. The average American should be able to recognize it
B. It is too much to ask of the average American to be able to recognize it","Don't you think the average American should be able to recognize the following type of news and information? Satire about an issue or event
A. Yes
B. No"
INFOKNOWc_W45,2,"How do you feel about the average American's ability to recognize the following type of news and information? Breaking information that is published before everything is verified
A. The average American should be able to recognize it
B. It is too much to ask of the average American to be able to recognize it","Don't you think the average American should be able to recognize the following type of news and information? Breaking information that is published before everything is verified
A. Yes
B. No"
INFOKNOWd_W45,2,"How do you feel about the average American's ability to recognize the following type of news and information? Factual information presented to favor one side of an issue
A. The average American should be able to recognize it
B. It is too much to ask of the average American to be able to recognize it","Don't you think the average American should be able to recognize the following type of news and information? Factual information presented to favor one side of an issue
A. Yes
B. No"
INFOKNOWe_W45,2,"How do you feel about the average American's ability to recognize the following type of news and information? A video or image that is altered or made up to mislead the public
A. The average American should be able to recognize it
B. It is too much to ask of the average American to be able to recognize it","Don't you think the average American should be able to recognize the following type of news and information? A video or image that is altered or made up to mislead the public
A. Yes
B. No"
INFOOWNa_W45,2,"How do you feel about your own ability to recognize the following type of news and information? Made-up information that is intended to mislead the public
A. I find it easy to recognize it
B. It find it hard to recognize it","Don't you think that you find it easy to recognize the following type of news and information? Made-up information that is intended to mislead the public
A. Yes
B. No"
