,key,num options,orig alpha,forbid alpha
38,RACESURV49_W43,2,"When it comes to decisions about hiring and promotions, do you think companies and organizations should take a person's race and ethnicity into account in addition to their qualifications, in order to increase diversity?
A. Yes
B. No","When it cmeos to dciiensos about hirnig and promotions, do you think coenmiaps and ooazianinrtgs slhuod take a person's race and ehiitcnty into aconuct in atiioddn to thier qualifications, in oerdr to incsreae diversity?
A. Yes
B. No"
39,RACESURV50_W43,2,"When it comes to the schools students attend, do you think students should go to schools that are racially and ethnically mixed, even if it means that some students don't go to school in their local community?
A. Yes
B. No","When it cmeos to the slohcos sendtuts attend, do you tihnk suntdtes sohuld go to sholcos that are raclliay and ecnhaltliy mixed, even if it means that some stetndus don't go to shoocl in their lcaol community?
A. Yes
B. No"
40,VTRGHTPRIV1_W92,2,"In your opinion, is voting is a privilege that comes with responsibilities and can be limited if adult U.S. citizens don't meet some requirements?
A. Yes
B. No","In your opinion, is votnig is a pegviilre that cmoes with rtiplssneieoiibs and can be lieimtd if auldt U.S. czeinits don't meet some requirements?
A. Yes
B. No"
41,ALLIES_W92,2,"In foreign policy, should the U.S. take into account the interests of its allies even if it means making compromises?
A. Yes
B. No","In fegiron policy, suhold the U.S. take into aunocct the inreetsts of its aleils even if it menas mkaing compromises?
A. Yes
B. No"
42,FP_AUTH_W92,2,"In foreign policy, the U.S. should work with any country to achieve U.S. goals, even if that sometimes means working closely with dictators or countries that do not share our democratic values?
A. Yes
B. No","In fogerin policy, the U.S. suohld work with any crntouy to aicvehe U.S. goals, even if that semtoimes maens wiokrng cllsoey with droctaits or cutroenis that do not share our demtoaricc values?
A. Yes
B. No"
43,SNGLPYER_W92,2,"Should health insurance be provided through a single national health insurance system run by the government?
A. Yes
B. No","Slouhd hetlah iaucnnrse be piorvedd tourhgh a snilge ntaanoil hlaeth isacnnure setsym run by the government?
A. Yes
B. No"
44,NOGOVTHC_W92,2,"Should the government continue programs like Medicare and Medicaid for seniors and the very poor?
A. Yes
B. No","Sulohd the gnoenermvt ctnnouie pmrorags like Maercide and Madieicd for seniors and the very poor?
A. Yes
B. No"
45,GOVT_ROLE_W32,2,"In your opinion, should government do more to solve problems?
A. Yes
B. No","In your opinion, shuold gneonmrevt do more to svole problems?
A. Yes
B. No"
46,MISINFG_W32,2,"Thinking about news and information online, including social media, should the U.S. government take steps to restrict false information online?
A. Yes
B. No","Tniikhng about news and iriofonamtn online, icdlinnug saoicl media, sulhod the U.S. gmonrvenet take sptes to rescirtt fasle irmoftniaon online?
A. Yes
B. No"
47,MISINFT_W32,2,"Thinking about news and information online, including social media, should the technology companies take steps to restrict false information online?
A. Yes
B. No","Tnhnikig auobt news and iniotmfoarn online, iiunldcng soical media, sulohd the thenlcoogy ciompaens take septs to rstercit fsale ioinrtmfaon online?
A. Yes
B. No"
