key,num options,orig alpha,reversed alpha
GAP21Q27_W82,3,"Do you think actions taken by the international community to address global climate change, such as the Paris climate agreement, will mostly
A. Benefit America's economy
B. Harm America's economy
C. Have no impact on America's economy","Do you think actions taken by the international community to address global climate change, such as the Paris climate agreement, will mostly
A. Have no impact on America's economy
B. Harm America's economy
C. Benefit America's economy"
GAP21Q29_W82,3,"What kind of leadership role should the US play in the world? It should
A. Be the single world leader
B. Play a shared leadership role
C. Not play any leadership role","What kind of leadership role should the US play in the world? It should
A. Not play any leadership role
B. Play a shared leadership role
C. Be the single world leader"
GAP21Q33_a_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think preventing the spread of weapons of mass destruction should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think preventing the spread of weapons of mass destruction should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_b_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think protecting the jobs of American workers should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think protecting the jobs of American workers should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_c_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think strengthening the United Nations should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think strengthening the United Nations should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_d_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing US military commitments overseas should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing US military commitments overseas should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_e_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of Russia should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of Russia should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_f_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think promoting democracy in other nations should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think promoting democracy in other nations should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_g_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing illegal immigration into the US should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing illegal immigration into the US should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_h_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of China should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of China should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_i_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think maintaining the US military advantage over all other countries should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think maintaining the US military advantage over all other countries should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_j_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think dealing with global climate change should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think dealing with global climate change should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_k_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing our trade deficit with foreign countries should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing our trade deficit with foreign countries should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_l_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think promoting and defending human rights in other countries should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think promoting and defending human rights in other countries should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_m_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing the spread of infectious diseases should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing the spread of infectious diseases should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_n_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of Iran should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of Iran should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_o_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think improving relationships with our allies should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think improving relationships with our allies should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_p_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think taking measures to protect the U.S. from terrorist attacks should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think taking measures to protect the U.S. from terrorist attacks should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_q_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think getting other countries to assume more of the costs of maintaining world order should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think getting other countries to assume more of the costs of maintaining world order should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_r_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think aiding refugees fleeing violence around the world should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think aiding refugees fleeing violence around the world should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_s_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing legal immigrations into the US should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think reducing legal immigrations into the US should be given?
A. No priority
B. Some priority
C. Top priority"
GAP21Q33_t_W82,3,"Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of North Korea should be given?
A. Top priority
B. Some priority
C. No priority","Thinking about long-range foreign policy goals, how much priority, if any, do you think limiting the power and influence of North Korea should be given?
A. No priority
B. Some priority
C. Top priority"
ECON1B_W54,3,"A year from now, do you expect that economic conditions in the country as a whole will be
A. Better
B. Worse
C. About the same as now","A year from now, do you expect that economic conditions in the country as a whole will be
A. About the same as now
B. Worse
C. Better"
INEQ1_W54,3,"Thinking about the level of economic inequality in the country these days, would you say there is
A. Too much economic inequality
B. Too little economic inequality
C. About the right amount of economic inequality","Thinking about the level of economic inequality in the country these days, would you say there is
A. About the right amount of economic inequality
B. Too little economic inequality
C. Too much economic inequality"
INEQ3_W54,3,"In order to address economic inequality in this country, do you think our economic system
A. Requires only minor changes
B. Requires major changes
C. Needs to be completely rebuilt","In order to address economic inequality in this country, do you think our economic system
A. Needs to be completely rebuilt
B. Requires major changes
C. Requires only minor changes"
PAST_W42,3,"Compared with twenty years ago, do you think developments in science have made people's lives
A. Better
B. Worse
C. About the same","Compared with twenty years ago, do you think developments in science have made people's lives
A. About the same
B. Worse
C. Better"
FUTURE_W42,3,"Looking ahead to the next twenty years, do you think developments in science will make people's lives
A. Better
B. Worse
C. About the same","Looking ahead to the next twenty years, do you think developments in science will make people's lives
A. About the same
B. Worse
C. Better"
POLICY3_W42,3,"In general, would you say scientific experts are
A. Usually better at making good policy decisions about scientific issues than other people
B. Usually worse at making good policy decisions about scientific issues than other people
C. neither better nor worse at making good policy decisions about scientific issues than other people","In general, would you say scientific experts are
A. neither better nor worse at making good policy decisions about scientific issues than other people
B. Usually worse at making good policy decisions about scientific issues than other people
C. Usually better at making good policy decisions about scientific issues than other people"
RQ1_F1A_W42,3,"In general, would you say your view of medical research scientists is
A. Mostly positive
B. Mostly negative
C. Neither positive nor negative","In general, would you say your view of medical research scientists is
A. Neither positive nor negative
B. Mostly negative
C. Mostly positive"
RQ2_F1A_W42,3,"How much, if anything, do you know about what medical research scientists do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know about what medical research scientists do?
A. Nothing at all
B. A little
C. A lot"
RQ2_F1B_W42,3,"How much, if anything, do you know about what environmental research scientists do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know about what environmental research scientists do?
A. Nothing at all
B. A little
C. A lot"
RQ2_F1C_W42,3,"How much, if anything, do you know about what nutrition research scientists do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know about what nutrition research scientists do?
A. Nothing at all
B. A little
C. A lot"
PQ2_F2A_W42,3,"How much, if anything, do you know about what medical doctors do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know about what medical doctors do?
A. Nothing at all
B. A little
C. A lot"
PQ2_F2B_W42,3,"How much, if anything, do you know about what environmental health specialists do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know about what environmental health specialists do?
A. Nothing at all
B. A little
C. A lot"
PQ2_F2C_W42,3,"How much, if anything, do you know about what dietitians do?
A. A lot
B. A little
C. Nothing at all","How much, if anything, do you know about what dietitians do?
A. Nothing at all
B. A little
C. A lot"
Q6F1_W42,3,"When you hear that scientific research findings have been reviewed by an independent committee, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way","When you hear that scientific research findings have been reviewed by an independent committee, does this make you
A. Makes no difference either way
B. Trust the research findings less
C. Trust the research findings more"
Q7F1_W42,3,"When you hear that data used in scientific research is being made openly available to the public, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way","When you hear that data used in scientific research is being made openly available to the public, does this make you
A. Makes no difference either way
B. Trust the research findings less
C. Trust the research findings more"
Q8F1_W42,3,"When you hear about scientific research that has been funded by the federal government, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way","When you hear about scientific research that has been funded by the federal government, does this make you
A. Makes no difference either way
B. Trust the research findings less
C. Trust the research findings more"
Q9F1_W42,3,"When you hear about scientific research that has been funded by an industry group, does this make you
A. Trust the research findings more
B. Trust the research findings less
C. Makes no difference either way","When you hear about scientific research that has been funded by an industry group, does this make you
A. Makes no difference either way
B. Trust the research findings less
C. Trust the research findings more"
Q6F2_W42,3,"When you hear that a science practitioner's recommendation is based on a review from an independent committee, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way","When you hear that a science practitioner's recommendation is based on a review from an independent committee, does this make you
A. Makes no difference either way
B. Trust the recommendation less
C. Trust the recommendation more"
Q7F2_W42,3,"When you hear that a science practitioner is open to getting a second opinion on their recommendation, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way","When you hear that a science practitioner is open to getting a second opinion on their recommendation, does this make you
A. Makes no difference either way
B. Trust the recommendation less
C. Trust the recommendation more"
Q8F2_W42,3,"When you hear that a science practitioner has received financial incentives from the federal government related to their work, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way","When you hear that a science practitioner has received financial incentives from the federal government related to their work, does this make you
A. Makes no difference either way
B. Trust the recommendation less
C. Trust the recommendation more"
Q9F2_W42,3,"When you hear that a science practitioner has received financial incentives from an industry group related to their work, does this make you
A. Trust the recommendation more
B. Trust the recommendation less
C. Makes no difference either way","When you hear that a science practitioner has received financial incentives from an industry group related to their work, does this make you
A. Makes no difference either way
B. Trust the recommendation less
C. Trust the recommendation more"
RACESURV3_W43,3,"In general, do you think the fact that the U.S. population is made up of people of many different races and ethnicities makes it
A. Easier for policymakers to solve the country's problems
B. Harder for policymakers to solve the country's problems
C. Doesn't make much difference","In general, do you think the fact that the U.S. population is made up of people of many different races and ethnicities makes it
A. Doesn't make much difference
B. Harder for policymakers to solve the country's problems
C. Easier for policymakers to solve the country's problems"
RACESURV4_W43,3,"In general, do you think the fact that the U.S. population is made up of people of many different races and ethnicities has
A. A positive impact on the country's culture
B. A negative impact on the country's culture
C. Doesn't make much difference","In general, do you think the fact that the U.S. population is made up of people of many different races and ethnicities has
A. Doesn't make much difference
B. A negative impact on the country's culture
C. A positive impact on the country's culture"
RACESURV11_W43,3,"Do you think race relations in the United States are
A. Getting better
B. Getting worse
C. Staying about the same","Do you think race relations in the United States are
A. Staying about the same
B. Getting worse
C. Getting better"
RACESURV12_W43,3,"When it comes to giving black people equal rights with whites, do you think our country has
A. Gone too far
B. Not gone far enough
C. Been about right","When it comes to giving black people equal rights with whites, do you think our country has
A. Been about right
B. Not gone far enough
C. Gone too far"
RACESURV14_W43,4,"Would you say President Trump has
A. Made progress toward improving race relations
B. Tried but failed to make progress toward improving race relations
C. Not addressed race relations
D. Made race relations worse","Would you say President Trump has
A. Made race relations worse
B. Not addressed race relations
C. Tried but failed to make progress toward improving race relations
D. Made progress toward improving race relations"
RACESURV19a_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Racial discrimination
A. Major reason
B. Minor reason
C. Not a reason","Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Racial discrimination
A. Not a reason
B. Minor reason
C. Major reason"
RACESURV19b_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Lack of motivation to work hard
A. Major reason
B. Minor reason
C. Not a reason","Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Lack of motivation to work hard
A. Not a reason
B. Minor reason
C. Major reason"
RACESURV19c_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Less access to good quality schools
A. Major reason
B. Minor reason
C. Not a reason","Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Less access to good quality schools
A. Not a reason
B. Minor reason
C. Major reason"
RACESURV19d_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Lack of good role models
A. Major reason
B. Minor reason
C. Not a reason","Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Lack of good role models
A. Not a reason
B. Minor reason
C. Major reason"
RACESURV19e_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Less access to high-paying jobs
A. Major reason
B. Minor reason
C. Not a reason","Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Less access to high-paying jobs
A. Not a reason
B. Minor reason
C. Major reason"
RACESURV19f_W43,3,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Family instability
A. Major reason
B. Minor reason
C. Not a reason","Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Family instability
A. Not a reason
B. Minor reason
C. Major reason"
RACESURV51_W43,3,"Thinking about the community where you live, do you wish your community was
A. More racially mixed
B. Less racially mixed
C. About as racially mixed as it is","Thinking about the community where you live, do you wish your community was
A. About as racially mixed as it is
B. Less racially mixed
C. More racially mixed"
FAMSURV2Ma_W50,3,"In general, how important, if at all, is being married in order for a man to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is being married in order for a man to live a fulfilling life?
A. Not important
B. Important, but not essential
C. Essential"
FAMSURV2Mb_W50,3,"In general, how important, if at all, is being in a committed romantic relationship in order for a man to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is being in a committed romantic relationship in order for a man to live a fulfilling life?
A. Not important
B. Important, but not essential
C. Essential"
FAMSURV2Mc_W50,3,"In general, how important, if at all, is having children in order for a man to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is having children in order for a man to live a fulfilling life?
A. Not important
B. Important, but not essential
C. Essential"
FAMSURV2Md_W50,3,"In general, how important, if at all, is having a job or career they enjoy in order for a man to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is having a job or career they enjoy in order for a man to live a fulfilling life?
A. Not important
B. Important, but not essential
C. Essential"
FAMSURV2Me_W50,3,"In general, how important, if at all, is having a lot of money in order for a man to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is having a lot of money in order for a man to live a fulfilling life?
A. Not important
B. Important, but not essential
C. Essential"
FAMSURV2Wa_W50,3,"In general, how important, if at all, is being married in order for a woman to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is being married in order for a woman to live a fulfilling life?
A. Not important
B. Important, but not essential
C. Essential"
FAMSURV2Wb_W50,3,"In general, how important, if at all, is being in a committed romantic relationship in order for a woman to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is being in a committed romantic relationship in order for a woman to live a fulfilling life?
A. Not important
B. Important, but not essential
C. Essential"
FAMSURV2Wc_W50,3,"In general, how important, if at all, is having children in order for a woman to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is having children in order for a woman to live a fulfilling life?
A. Not important
B. Important, but not essential
C. Essential"
FAMSURV2Wd_W50,3,"In general, how important, if at all, is having a job or career they enjoy in order for a woman to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is having a job or career they enjoy in order for a woman to live a fulfilling life?
A. Not important
B. Important, but not essential
C. Essential"
FAMSURV2We_W50,3,"In general, how important, if at all, is having a lot of money in order for a woman to live a fulfilling life?
A. Essential
B. Important, but not essential
C. Not important","In general, how important, if at all, is having a lot of money in order for a woman to live a fulfilling life?
A. Not important
B. Important, but not essential
C. Essential"
FAMSURV7_W50,3,"Compared with couples who don't live together before marriage, do you think couples who do live together before marriage have a
A. Better chance of having a successful marriage
B. Worse chance of having a successful marriage
C. Doesn't make much difference","Compared with couples who don't live together before marriage, do you think couples who do live together before marriage have a
A. Doesn't make much difference
B. Worse chance of having a successful marriage
C. Better chance of having a successful marriage"
FAMSURV37_W50,3,"Looking ahead, would having children make it
A. Easier to advance in your job or career
B. Harder to advance in your job or career
C. Would not make a difference","Looking ahead, would having children make it
A. Would not make a difference
B. Harder to advance in your job or career
C. Easier to advance in your job or career"
ORIENTATIONMOD_W50,5,"Do you think of yourself as
A. Gay or lesbian
B. Straight, that is, not gay or lesbian
C. Bisexual
D. Something else
E. I don't know the answer","Do you think of yourself as
A. I don't know the answer
B. Something else
C. Bisexual
D. Straight, that is, not gay or lesbian
E. Gay or lesbian"
DIFFPARTY_W92,3,"Thinking about the Democratic and Republican parties, would you say there is
A. A great deal of difference in what they stand for
B. A fair amount of difference in what they stand for
C. Hardly any difference at all in what they stand for","Thinking about the Democratic and Republican parties, would you say there is
A. Hardly any difference at all in what they stand for
B. A fair amount of difference in what they stand for
C. A great deal of difference in what they stand for"
USEXCEPT_W92,3,"Which of these statements best describes your opinion about the United States?
A. The U.S. stands above all other countries in the world
B. The U.S. is one of the greatest countries in the world, along with some others
C. There are other countries that are better than the U.S.","Which of these statements best describes your opinion about the United States?
A. There are other countries that are better than the U.S.
B. The U.S. is one of the greatest countries in the world, along with some others
C. The U.S. stands above all other countries in the world"
POORASSIST_W92,3,"Thinking about assistance the government provides to people in need, do you think the government
A. Should provide more assistance
B. Should provide less assistance
C. Is providing about the right amount of assistance","Thinking about assistance the government provides to people in need, do you think the government
A. Is providing about the right amount of assistance
B. Should provide less assistance
C. Should provide more assistance"
PAR2CHILDa_W92,3,"If one parent is able to stay home to focus on the family, is it generally better if that parent is the
A. Mother
B. Father
C. It doesn't matter which parent stays home","If one parent is able to stay home to focus on the family, is it generally better if that parent is the
A. It doesn't matter which parent stays home
B. Father
C. Mother"
POLICY3MOD_W92,3,"In general, would you say experts who study a subject for many years are
A. Usually better at making good policy decisions about that subject than other people
B. Usually worse at making good policy decisions about that subject than other people
C. neither better nor worse at making good policy decisions about that subject than other people","In general, would you say experts who study a subject for many years are
A. neither better nor worse at making good policy decisions about that subject than other people
B. Usually worse at making good policy decisions about that subject than other people
C. Usually better at making good policy decisions about that subject than other people"
BILLION_W92,3,"Do you think the fact that there are some people in this country who have personal fortunes of a billion dollars or more is
A. A good thing for the country
B. A bad thing for the country
C. Neither a good thing or a bad thing","Do you think the fact that there are some people in this country who have personal fortunes of a billion dollars or more is
A. Neither a good thing or a bad thing
B. A bad thing for the country
C. A good thing for the country"
CRIM_SENT2_W92,3,"Overall, would you say people who are convicted of crimes in this country serve
A. Too much time in prison
B. Too little time in prison
C. About the right amount of time in prison","Overall, would you say people who are convicted of crimes in this country serve
A. About the right amount of time in prison
B. Too little time in prison
C. Too much time in prison"
